Modern Timeline of Freemasonry,,,,
15 BC,Death of Vitruvius (approximate),,Roman Empire,"Marcus Vitruvius Pollio dies, leaving De Architectura as his legacy."
15 BC-100 AD,Early Roman implementation,Augustan architects,Roman Empire,Roman architects apply Vitruvian principles during the building program of Augustus and his successors.
75-80 AD,Frontinus references Vitruvius,Sextus Julius Frontinus,"Rome, Italy","Roman engineer cites Vitruvius in his work on aqueducts, showing early influence."
100 AD,Pliny the Elder cites Vitruvius,Pliny,"Rome, Italy","References to Vitruvius in Pliny's Natural History, helping preserve knowledge of his work."
110 AD,Trajan's Forum applies Vitruvian principles,Apollodorus of Damascus,"Rome, Italy",Major architectural complex embodying many Vitruvian ideals of proportion and design.
200 AD,Athenaeus references Vitruvius,Athenaeus,"Alexandria, Egypt","Greek scholar mentions Vitruvius, showing the spread of his reputation."
300-400 AD,De Architectura preserved in libraries,Roman scholars,Various,Copying and preservation of Vitruvius's text in late Roman libraries.
500-600 AD,Boethius and Cassiodorus reference Vitruvius,Early medieval scholars,Italy,Early medieval scholars help maintain awareness of Vitruvius during the transition from antiquity.
550 AD,Isidore of Seville preserves Vitruvian concepts,Isidore,"Seville, Spain","Encyclopedist includes Vitruvian ideas in his works, helping transmit them to medieval Europe."
800 AD,Carolingian copies of De Architectura,Carolingian monks,Frankish Empire,"Earliest surviving manuscripts of Vitruvius date from this period, showing continued interest."
1000-1200 AD,Limited circulation in monastic libraries,Benedictine monks,Various European monasteries,Preservation of Vitruvian manuscripts in monastic collections during the early Middle Ages.
1244 AD,Vincent of Beauvais cites Vitruvius,Vincent of Beauvais,France,Medieval encyclopedist incorporates Vitruvian knowledge in his Speculum Maius.
1300-1400 AD,Early Renaissance interest in Vitruvius,Proto-humanist scholars,Italy,Growing interest in classical texts leads to wider circulation of Vitruvian manuscripts.
1414 AD,Poggio Bracciolini discovers Vitruvius manuscript,Poggio Bracciolini,"Monastery of St. Gall, Switzerland","Humanist discovery of a complete manuscript of De Architectura, spurring Renaissance interest."
1450 AD,First printed edition preparation,Giovanni Sulpizio,"Rome, Italy",Work begins on preparing Vitruvius for the new medium of printing.
1486 AD,First printed edition of De Architectura,,"Rome, Italy","Publication of the first printed edition of Vitruvius, making the text widely available."
1511 AD,Fra Giocondo's illustrated edition,Fra Giovanni Giocondo,"Venice, Italy","First illustrated edition of Vitruvius, making his principles more accessible to architects."
1521 AD,Cesariano's Italian translation,Cesare Cesariano,"Como, Italy","First translation into Italian with extensive commentary, broadening Vitruvius's influence."
1546 AD,Daniele Barbaro's commentary,"Daniele Barbaro, Andrea Palladio","Venice, Italy",Influential commentary on Vitruvius with illustrations attributed to Palladio.
1562 AD,Philandrier's annotated Vitruvius,Guillaume Philandrier,"Lyon, France",Scholar's detailed annotations of Vitruvius clarify difficult passages.
1567 AD,Spanish translation,Miguel de Urrea,"Alcalá, Spain",Translation making Vitruvian principles available to Spanish-speaking architects.
1570 AD,"Palladio publishes ""Four Books of Architecture""",Andrea Palladio,"Venice, Italy",Palladio's own architectural treatise heavily influenced by Vitruvian principles.
1624 AD,English translation,Henry Wotton,"London, England","First English translation, ""The Elements of Architecture,"" based on Vitruvian principles."
1673 AD,Claude Perrault's definitive edition,Claude Perrault,"Paris, France",French architect produces highly influential edition reconciling Vitruvius with modern practices.
1791 AD,First US edition,William Thornton,"Philadelphia, USA",Introduction of Vitruvian principles to American architectural practice.
1826 AD,Joseph Gwilt's English translation,Joseph Gwilt,"London, England",Standard English translation that would influence Victorian architecture.
1900-present,Modern critical editions,Various scholars,Various locations,Scholarly editions establishing critical text and historical context of Vitruvius's work.
