Modern Era,Scholarly Debates:,- Fujita (1970): Two devotional groups (light vs. life).,"Fujita (1985, 2007); Karashima (2010)",Debate on whether Amitābha or Amitāyus came first.,,,,
,- Tanabe’s hypothesis: Mandorla = Amitābha; no mandorla = Amitāyus.,- Karashima’s rebuttal: Phonology favors Amitābha as earlier.,Tanabe (2021a); Karashima (2014),Iconography vs. linguistics tension.,,,,
Amitābha (Light),Amitāyus (Life),,,,,,,
- Double haloes (nimbus + mandorla).,"- Single nimbus, bare shoulder.",,,,,,,
- Visualized radiance (vyāmaprabhā).,Invisible longevity.,,,,,,,
- Earlier (1st–2nd c. CE).,- Slightly later (2nd–3rd c. CE).,,,,,,,
Source Type,Key Works,Contributions,,,,,,
Archaeological,"- Brough’s triad (Fig. 3), Tokyo/Peshawar Museum pieces (Figs. 1–2).",Provenance for Gandhāran Amida triads.,,,,,,
Epigraphic,"- ""Amridaha"" inscription (Fig. 3).",Confirms Gāndhārī phonetic forms.,,,,,,
Textual,"- Mahāprajñāpāramitopadeśa (T.25.1509), Dà āmituó jīng (T.12.362).",Doctrinal basis for iconography.,,,,,,
Art Historical,"- Foucher (1917), Tanabe (2019–2021a).",Iconographic classification.,,,,,,
Linguistic,"- Karashima (2009–2014), Nattier (2006).","Phonological evolution of ""Amida.""",,,,,,
Date/Period,Term(s)/Form(s),Language(s)/Culture(s),Linguistic Evolution & Process,Meaning/Role,Relationship/Context,Evidence/Sources,,
c. 3000–1000 BCE,*Teŋri,Proto-Turkic,Sound preservation,"Sky God, creator","Proto-Turkic supreme deity, “eternal blue sky”","Orkhon inscriptions, comparative linguistics",,
c. 1500–500 BCE,*Bud- (root),Indo-Iranian,Root for “awakened”,"Awakened one, Buddha",Later borrowed/adapted into Turkic/Mongolic as Burkhan/Burxan,"Standard etymology, Buddhist texts",,
c. 1000–500 BCE,"Mazda, Ahura Mazda","Avestan, Iranian","Sound shift, contraction","Wisdom deity, sky creator",Supreme god of Zoroastrianism; “Mazda” = wisdom16,"Zoroastrian scriptures, Wikipedia16",,
c. 209 BCE–93 CE,撑犁 (Cheng-li),Xiongnu,Transcription of Tengri,Sky God,Chinese records of steppe sky deity,Shiji (Chinese historical texts),,
c. 1st c. BCE–1st c. CE,Avalokiteśvara,Sanskrit (India),Compound formation (“Lord who looks down”),Bodhisattva of compassion,Origin of Chenrezig in Buddhist cosmology,"Buddhist sutras, Mahayana texts",,
6th–8th c. CE,"Тәңре (Täŋre), Tängri, Tangra","Old Turkic, Bulgar","Sound preservation, regional variants","Sky God, Heaven","Supreme deity, often syncretized with Buddhist and Iranian concepts","Orkhon inscriptions, archaeological findings",,
6th–13th c. CE,"Tngri, Tenger, Tengeri, Tangara","Mongolic, Buryat, Kalmyk, Yakut","Sound preservation, adaptation","Sky deity, celestial ruler",Mongolic and Siberian sky deities; syncretism with Buddhist and Iranian elements,"Secret History of the Mongols, Buryat folklore",,
6th–10th c. CE,"Burkhan, Burxan","Mongolic, Turkic",Borrowing from “Buddha”,"Buddha, deity",“Burkhan” used for Buddha and as a general term for deity; “Tenger Burkhan” = Sky Buddha,"Buddhist texts, Mongolic oral tradition",,
6th–10th c. CE,"Mazda-Tengri, Tenger Burkhan","Sogdian-Turkic, Mongolic",Compound formation,"Wise sky deity, Sky Buddha",Evidence of Iranian-Buddhist-Turkic syncretism; “Mazda” and “Tengri” combined in religious texts and titles48,"Encyclopaedia Iranica8, numismatic and textual evidence",,
7th c. CE,Chenrezig (སྤྱན་རས་གཟིགས་),Tibetan,Adaptation of Avalokiteśvara,Compassionate bodhisattva,"Chenrezig becomes central in Tibetan Buddhism, later linked to sky deities in Mongolic areas",Tibetan Buddhist canon,,
7th–13th c. CE,"Aryabalo, Chenrezig","Mongolian, Turkic",Borrowing from Tibetan/Sanskrit,Compassionate deity,"Mongol/Turkic Buddhism blends Chenrezig with Tengri motifs (“White Deity”, “Sky Buddha”)2","StudyBuddhism.com2, Mongolian Buddhist texts",,
6th–10th c. CE,Phags-pa Chenrézik-Tängri,Tibetan-Turkic,Compound formation,"Celestial, compassionate deity",Syncretic deity in Tibet/Mongolia; Chenrezig identified with Tängri in prayers (“Om Burchan Tingiri!”)2,"StudyBuddhism.com2, shamanic and Buddhist inscriptions",,
8th–13th c. CE,"Deva, Div, Daeva","Sanskrit, Avestan",Sound shift from PIE *deiwos,"Celestial deity, god","Indo-Iranian celestial beings; “deva” positive in Vedic, “daeva” negative in Zoroastrianism6","Comparative linguistics, Vedic and Avestan texts6",,
8th–13th c. CE,Mithra/Mihr/Mitr → Miroku (弥勒),"Iranian, East Asian",Phonetic adaptation,"Solar, contract, or future Buddha",Mithraic concepts influence Buddhist Maitreya (Miroku in Japan); possible transmission via Sogdian and Silk Road,Academic studies on Silk Road religion,,
Medieval period,Tangaroa,Polynesian,Possible distant cognate,Sea god,Disputed link to Tengri; similar sky/sea deity functions,Comparative linguistics,,
Modern era,"Chenrezig, Tenger Burkhan","Tibetan, Mongolic",Continued syncretism,Compassionate sky deity,Rituals and prayers invoke both Chenrezig and Tenger Burkhan; Dalai Lamas seen as Chenrezig incarnations,Modern Mongolian Buddhist practice2,,
Date,Event,Religious Tradition,Significance,Region,Outcome,Key Figures,Source Text / Academic Citation,
563–483 BCE (approx.),Life of Gautama Buddha,Buddhism,Established Buddhism and prophesied the future coming of Maitreya,Northern India (present-day Nepal and India),Foundation of Buddhism; introduction of Maitreya concept,Siddhārtha Gautama (Buddha),"Buddhacarita (Aśvaghoṣa, 1st c. CE); Lalitavistara Sūtra (3rd c. CE); Mahāvastu (compiled up to 4th c. CE); Abhiniṣkramaṇa Sūtra (3rd–6th c. CE Chinese translations); Nakamura, Hajime. Indian Buddhism: A Survey with Bibliographical Notes. Motilal Banarsidass, 1980.",
3rd c. BCE,Maitreya references appear in early Buddhist texts,Buddhism,Early textual evidence of Maitreya prophecy,India,Formalization of Maitreya doctrine,Unknown authors,"Conze, Edward. Buddhist Texts Through the Ages. Harper & Row, 1964; Sponberg, Alan & Hardacre, Helen. Maitreya, the Future Buddha. Cambridge University Press, 1988.",
272–231 BCE,Reign of Emperor Ashoka,Buddhism,Imperial patronage of Buddhism; possible expansion of Maitreya concept,South Asia,Spread of Buddhism throughout Asia,Emperor Ashoka,"Strong, John S. The Legend of King Aśoka: A Study and Translation of the Aśokāvadāna. Princeton University Press, 1983.",
Date,Event,Religious Tradition,Significance,Region,Outcome,Key Figures,Source Text / Academic Citation,
1st-2nd c. CE,Development of Mithraism,Mithraism,Rise of mystery religion centered on Mithras,Roman Empire,Spread throughout Roman military; competition with early Christianity,Unknown initiates,"Ulansey, David. The Origins of the Mithraic Mysteries: Cosmology and Salvation in the Ancient World. Oxford University Press, 1989.",
2nd–6th c. CE,Maitreya belief flourished in western India,Buddhism,Developed during Kushan Dynasty before Sassanid conquest,"Western India, Central Asia",Incorporation into Mahayana Buddhism,Various Buddhist monks and scholars,"Williams, Paul. Mahayana Buddhism: The Doctrinal Foundations. Routledge, 1989; Sponberg, Alan & Hardacre, Helen. Maitreya, the Future Buddha. Cambridge University Press, 1988.",
2nd–10th c. CE,Translation of Maitreya sutras into Chinese,Buddhism,Spread of Maitreya doctrines throughout East Asia,"China, Korea, Japan",Integration of Maitreya beliefs into East Asian Buddhism,"Dharmarakṣa, Kumārajīva, and other translators","Ch'en, Kenneth. Buddhism in China: A Historical Survey. Princeton University Press, 1964; Lancaster, Lewis. ""The Translation of Buddhist Texts in China."" Encyclopedia of Buddhism. Macmillan, 2004.",
Early 4th–5th c. CE,Pagan Revival and Persecution of Mithraists,Mithraism,Pagan revival among Roman elites included Mithras; resistance to Christianization,Roman Empire,"Mithraic sanctuaries destroyed, cult suppressed by Christian authorities",Various Roman elites and military leaders,"Clauss, Manfred. The Roman Cult of Mithras: The God and His Mysteries. Edinburgh University Press, 2000; Vermaseren, M.J. Mithras, the Secret God. Barnes & Noble Books, 1963.",
402 CE,Founding of White Lotus Society by Huiyuan,Buddhism,Originally worshipped Amitabha Buddha; later adopted Maitreya belief during Yuan Dynasty,China (Mt. Lushan),Established influential Pure Land Buddhist movement,Huiyuan,"Seiwert, Hubert. Popular Religious Movements and Heterodox Sects in Chinese History. Brill, 2003; Zürcher, Erik. The Buddhist Conquest of China. Brill, 1972.",
Date,Event,Religious Tradition,Significance,Region,Outcome,Key Figures,Source Text / Academic Citation,
515 CE,Mahayana Rebellion (Faqing),Buddhism (Maitreya),"Faqing claimed to be the ""New Buddha,"" citing Maitreya prophecy","Northern Wei, China","Sect seized a prefecture, killed officials, and was crushed by government forces",Faqing,"Ownby, David. Brotherhoods and Secret Societies in Early and Mid-Qing China. Stanford University Press, 1996; ter Haar, B.J. The White Lotus Teachings in Chinese Religious History. Brill, 1992.",
517 CE,Remnants of Mahayana Rebellion,Buddhism (Maitreya),Surviving rebels mounted another attack,"Northern Wei, China","Repelled after battle, fate unknown",Unknown leaders,"Overmyer, Daniel L. Folk Buddhist Religion: Dissenting Sects in Late Traditional China. Harvard University Press, 1976.",
5th–6th c. CE,"Movements of Fu Dashi, Feng Yi, Heyue",Buddhism (Maitreya),"Claimed to be reincarnations of Maitreya, led local uprisings",China,Rebellions suppressed,"Fu Dashi, Feng Yi, Heyue","Zürcher, Erik. The Buddhist Conquest of China. Brill, 1972; Overmyer, Daniel L. Folk Buddhist Religion. Harvard University Press, 1976.",
570–632 CE,Life of Prophet Muhammad,Islam,Established Islam; tradition attributes prophecies about Mahdi to him,Arabian Peninsula,Foundation of Islam; introduction of Mahdi concept,Muhammad ibn Abdullah,"Donner, Fred M. Muhammad and the Believers: At the Origins of Islam. Harvard University Press, 2010; Cook, David. Studies in Muslim Apocalyptic. Darwin Press, 2002.",
610–613 CE,Rebellions of Song Zixian and Xiang Haiming,Buddhism (Maitreya),"Claimed to be incarnations of Maitreya, led rebellions","Sui Dynasty, China",Rebellions crushed by authorities,"Song Zixian, Xiang Haiming","Seiwert, Hubert. Popular Religious Movements and Heterodox Sects in Chinese History. Brill, 2003; ter Haar, B.J. The White Lotus Teachings in Chinese Religious History. Brill, 1992.",
Date,Event,Religious Tradition,Significance,Region,Outcome,Key Figures,Source Text / Academic Citation,
690–705 CE,Reign of Wu Zetian,Buddhism (Maitreya),Proclaimed herself an incarnation of Maitreya,"Wu Zhou, China",Used claim to legitimize rule; not a rebellion but a political-religious claim,Wu Zetian (Empress Wu),"Rothschild, N. Harry. Wu Zhao: China's Only Woman Emperor. Pearson Longman, 2008; Chen, Jo-shui. ""Empress Wu and Proto-Feminist Sentiments in T'ang China."" Imperial Rulership and Cultural Change in Traditional China. University of Washington Press, 1994.",
713 CE,Wang Huaigu Rebellion,Buddhism (Maitreya),"Led a rebellion as the ""New Buddha"" (interpreted as Maitreya)","Tang Dynasty, China",Rebellion suppressed,Wang Huaigu,"ter Haar, B.J. The White Lotus Teachings in Chinese Religious History. Brill, 1992.",
874–941 CE,Minor Occultation (ghayba) of 12th Imam,Shi'ism,"The 12th Imam, Muhammad ibn al-Hasan, communicated indirectly through four agents","Iraq, Iran",Development of Shi'i doctrine of Hidden Imam,"Muhammad ibn al-Hasan (12th Imam); Four Deputies (sufara): Uthman ibn Sa'id, Abu Ja'far Muhammad ibn Uthman, Abu al-Qasim Husayn ibn Ruh, Abu al-Hasan Ali ibn Muhammad al-Samarri","Sachedina, Abdulaziz. Islamic Messianism: The Idea of Mahdi in Twelver Shi'ism. State University of New York Press, 1981; Modarressi, Hossein. Crisis and Consolidation in the Formative Period of Shi'ite Islam. Darwin Press, 1993.",
941 CE–Present,Major Occultation of 12th Imam,Shi'ism,No communication with the 12th Imam; period believed to last until his return as Mahdi,Global Shi'ism,Central eschatological belief in Twelver Shi'ism,Muhammad ibn al-Hasan (12th Imam),"Sachedina, Abdulaziz. Islamic Messianism: The Idea of Mahdi in Twelver Shi'ism. State University of New York Press, 1981; Amir-Moezzi, Mohammad Ali. The Divine Guide in Early Shi'ism. SUNY Press, 1994.",
1022 CE,Death of al-Shaykh al-Mufīd,Shi'ism,"Author of Kitāb al-Irshād, major source on Shi'i doctrine about Mahdi",Iraq,Codification of Twelver Shi'i doctrine on Mahdi,al-Shaykh al-Mufīd,"Al-Shaykh al-Mufid, Kitāb al-Irshād, trans. I.K.A. Howard. Muhammadi Trust, 1981; Newman, Andrew J. The Formative Period of Twelver Shi'ism. Routledge, 2000.",
1047 CE,Rebellion of Wang Ze,Buddhism (Maitreya),Led revolt expecting Maitreya's imminent appearance,"Northern Song, China","Took over Beizhou, crushed by government forces",Wang Ze,"Seiwert, Hubert. Popular Religious Movements and Heterodox Sects in Chinese History. Brill, 2003; ter Haar, B.J. Ritual and Mythology of the Chinese Triads. Brill, 1998.",
11th century CE,"Beginning of ""Latter Day of the Law"" (mappō)",Buddhism,"In East Asian Buddhism, believed to be when Buddhism declines and people can no longer attain enlightenment through practice","Japan, China, Korea",Increased emphasis on devotional practices and eschatological expectations,Various Buddhist thinkers,"Stone, Jacqueline. Original Enlightenment and the Transformation of Medieval Japanese Buddhism. University of Hawaii Press, 1999; Dobbins, James C. Jōdo Shinshū: Shin Buddhism in Medieval Japan. Indiana University Press, 1989.",
1153 CE,Death of Shahrastani,Islam,Muslim scholar who provided succinct description of Indian Buddhism,Persia,Important source on comparative religion including Buddhism,Muhammad ibn Abd al-Karim al-Shahrastani,"Shahrastani, Muhammad ibn Abd al-Karim. Kitab al-Milal wa al-Nihal. Trans. William Cureton, 1846; Kazi, A.K. & Flynn, J.G. Muslim Sects and Divisions. Kegan Paul International, 1984.",
Date,Event,Religious Tradition,Significance,Region,Outcome,Key Figures,Source Text / Academic Citation,
1337 CE,Uprising of Bang Hu,Buddhism (Maitreya),Yuan Dynasty uprising associated with Maitreya belief,"Yuan Dynasty, China",Uprising suppressed,Bang Hu,"Seiwert, Hubert. Popular Religious Movements and Heterodox Sects in Chinese History. Brill, 2003; ter Haar, B.J. The White Lotus Teachings in Chinese Religious History. Brill, 1992.",
1351–1368 CE,Red Turban Rebellion,Buddhism (Maitreya/White Lotus),Han Shantong claimed his son was Maitreya; White Lotus Society led millenarian uprising,"Yuan Dynasty, China","Contributed to fall of Yuan Dynasty, rise of Ming Dynasty","Han Shantong, Liu Futong, Zhu Yuanzhang (later Hongwu Emperor)","Dardess, John W. Confucianism and Autocracy: Professional Elites in the Founding of the Ming Dynasty. University of California Press, 1983; Ter Haar, B.J. The White Lotus Teachings in Chinese Religious History. Brill, 1992.",
Yuan Dynasty (1271–1368),White Lotus Society adopts Maitreya belief,Buddhism,Transformation of religious movement that led numerous uprisings,China,Integration of Maitreya eschatology into popular religious movements,Various White Lotus leaders,"Seiwert, Hubert. Popular Religious Movements and Heterodox Sects in Chinese History. Brill, 2003; Overmyer, Daniel L. Folk Buddhist Religion: Dissenting Sects in Late Traditional China. Harvard University Press, 1976.",
1796–1804 CE,Second White Lotus Rebellion,Buddhism (Maitreya/White Lotus),Millenarian uprising with Maitreya claims,"Qing Dynasty, China","Major anti-Qing rebellion, eventually suppressed","Wang Lun, Qi Lin, Song Jingzhong","Naquin, Susan. Millenarian Rebellion in China: The Eight Trigrams Uprising of 1813. Yale University Press, 1976; Spence, Jonathan D. The Search for Modern China. W.W. Norton, 1990.",
Date,Event,Religious Tradition,Significance,Region,Outcome,Key Figures,Source Text / Academic Citation,
19th century,Suppression of White Lotus Society,Buddhism,Qing Dynasty suppresses rebellious movement that used Maitreya belief,China,Drove movement underground; influenced later rebellions,Various Qing officials and White Lotus leaders,"Naquin, Susan. Millenarian Rebellion in China: The Eight Trigrams Uprising of 1813. Yale University Press, 1976; Spence, Jonathan D. The Search for Modern China. W.W. Norton, 1990.",
19th c.,Burmese Revolutions (Satkya-Min),Buddhism (Maitreya),Burmese revolutionary heroes identified with Metteyya (Maitreya),Burma (Myanmar),Fueled anti-colonial resistance,Various rebel leaders (Satkya-Min),"Sarkisyanz, Emanuel. Buddhist Backgrounds of the Burmese Revolution. Springer, 1965; Spiro, Melford E. Buddhism and Society: A Great Tradition and Its Burmese Vicissitudes. University of California Press, 1982.",
1899–1901 CE,Boxer Rebellion,Buddhism/Folk (White Lotus/Maitreya influence),Society of Harmonious Fists influenced by White Lotus millenarianism,"Qing Dynasty, China","Anti-foreign, anti-Christian uprising; eventually suppressed by Eight-Nation Alliance",Various Boxer leaders,"Cohen, Paul A. History in Three Keys: The Boxers as Event, Experience, and Myth. Columbia University Press, 1997; Esherick, Joseph W. The Origins of the Boxer Uprising. University of California Press, 1987.",
2002 CE,Destruction of Bamiyan Buddha statues,Modern event,Taliban's destruction of 6th century Buddhist statues amplified negative feelings between Buddhist and Islamic traditions,Afghanistan,International outrage; loss of cultural heritage; increased religious tensions,Taliban leader Mullah Mohammed Omar,"Morgan, Llewelyn. The Buddhas of Bamiyan. Harvard University Press, 2012; Rathje, W.L. ""Why the Taliban are Destroying Buddhas in Afghanistan."" USA Today, March 22, 2001; UNESCO reports on the destruction.",
Tradition,Messianic Figure,Key Characteristics,Eschatological Role,Historical Development,Contemporary Significance,,,
Buddhism,Maitreya (Sanskrit) / Metteyya (Pali) / Mile (Chinese),Future Buddha; currently resides in Tuṣita heaven,Will appear when Dharma has been forgotten; will teach pure Dharma and establish utopian age,Developed from early Buddhism (3rd c. BCE); prominent in Mahayana Buddhism; political significance in East Asia,Venerated in temples throughout Asia; associated with social reform movements; integrated into various Buddhist denominations,,,
Shi'ism,Muhammad ibn al-Hasan (12th Imam / Mahdi),Hidden Imam; descended from Prophet Muhammad; in occultation since 941 CE,Will return to establish justice and peace; will rule alongside Jesus (Isa),Developed in early Shi'ism; doctrine formalized by 10th-11th c. CE,Central belief in Twelver Shi'ism; political significance in Iran and other Shi'i regions; influences contemporary politics,,,
Mithraism,Mithras,Indo-Iranian deity; slayer of the cosmic bull; solar associations,Savior figure in mystery religion; associations with cosmic renewal,Developed in Roman Empire (1st-4th c. CE) as mystery religion; suppressed by Christianity,Archaeological significance; comparative religious studies; influence on Western esotericism,,,
Date/Period,Name/Variant,Language/First Attestation,Etymology & Meaning,PIE Root(s),Biblical Reference/Source,Notes & Evolution,Relationship to Bodhisattva,
c. 1500–500 BCE,*Bud- (root),Indo-Iranian,Root for “awakened”,"Awakened one, Buddha",Later borrowed/adapted into Turkic/Mongolic as Burkhan/Burxan,"Standard etymology, Buddhist texts",,
c. 10th–9th c. BCE,Jehoshaphat (יְהוֹשָׁפָט),"Hebrew; 1 Kings 15:24, 22:41","""Yahweh has judged"" (YHWH + shaphat, ""to judge"")","shaphat: Semitic root, no PIE; YHWH: Hebrew theonym",1 Kings 22:41; 2 Chronicles 17:1,"4th king of Judah, son of Asa; reign c. 873–849 BCE",No direct relation; name structure reflects Hebrew theophoric tradition,
c. 7th–6th c. BCE,Josiah (יֹאשִׁיָּהוּ),"Hebrew; 2 Kings 21:24, 22:1","""Yahweh supports/heals"" (YHWH + asha, ""to support, heal"")","asha: Semitic root, no PIE; YHWH: Hebrew theonym",2 Kings 22:1,"King of Judah, led reforms; variant Jesiah means ""God supports""",No direct relation; similar theophoric pattern,
c. 8th–7th c. BCE,Isaiah (יְשַׁעְיָהוּ),Hebrew; Isaiah 1:1,"""Yahweh is salvation"" (YHWH + yasha, ""to save"")","yasha: Semitic root, no PIE; YHWH: Hebrew theonym",Isaiah 1:1,Major prophet; name shares root with Hosea (salvation),No direct relation; but “savior” motif parallels later soteriological figures,
c. 6th–5th c. BCE,Joseph (יוֹסֵף),Hebrew; Genesis 30:24,"""He will add"" (yasaf, ""to add, increase"")","yasaf: Semitic root, no PIE",Genesis 30:24; 37–50,Son of Jacob; patriarch in Egypt,No direct relation; but Joseph’s role as a “savior” of his family is echoed in later traditions,
c. 5th–4th c. BCE,Bodhisatta,Pali; Early Buddhist Canon (Majjhima Nikāya 123),"bodhi (""awakening"") + satta (""being"")","bodhi: PIE bheudh- (“to be aware, make aware”)3456; satta: PIE bheuə-, es- (“to be”)35",Buddhist texts,Used for Gautama Buddha in previous lives and before enlightenment27,"Direct ancestor of ""bodhisattva""",
543 BCE,Buddha,Pali/Sanskrit; Early Buddhist texts,"""Awakened one"" (from budh-, ""to awake, know, perceive"")","budh-: PIE bheudh- (“to be aware, make aware”)3456",Buddhist texts,"Title for Siddhartha Gautama; ""the awakened one""",Closely linked; all bodhisattvas aim to become Buddhas,
1st–2nd c. BCE,Bodhisattva,Sanskrit; Mahāyāna texts,"bodhi (""awakening"") + sattva (""being, essence"")","bodhi: PIE bheudh- (“to be aware, make aware”)3456; sattva: PIE bheuə-, es- (“to be”)35","Buddhavaṃsa, Mahāyāna texts",Expanded in Mahāyāna to mean anyone on the path to Buddhahood12,Central concept; direct etymological source for Josaphat via later adaptations,
1st c. CE,Josephus (Ἰώσηπος),"Greek/Latin; Josephus, Antiquities","Greek rendering of Joseph (Yosef); ""he will add""","yasaf: Semitic root, no PIE","Josephus, Antiquities of the Jews","Flavius Josephus, Jewish historian; name is Hellenized form of Joseph",No direct relation; name is a transmission of the biblical Joseph,
1st c. CE,"Jesus (Ἰησοῦς, Yeshua)",Greek/Hebrew/Aramaic; Matthew 1:21,"""Yahweh saves"" (YHWH + yasha, ""to save"")","yasha: Semitic root, no PIE; YHWH: Hebrew theonym",Matthew 1:21; Luke 1:31,Central figure of Christianity; name is a Greek form of Joshua (Yehoshua),"No direct relation; but soteriological (""savior"") meaning parallels Bodhisattva’s salvific role",
6th–7th c. CE,Bodisav,Middle Persian Buddhist texts,Adaptation of Sanskrit bodhisattva,"bodhi: PIE bheudh-; sav: from sattva (PIE bheuə-, es-)",Persian Buddhist texts,Transmission of Buddhist stories into Persian,Intermediate link in the path from bodhisattva to Josaphat,
8th c. CE,Budhasaf / Yudasaf,Arabic texts,"From Middle Persian Bodisav; ""b"" (ب) sometimes misread as ""y"" (ي)","budha: PIE bheudh- (“to be aware”); saf: from sattva (PIE bheuə-, es-)",Arabic retellings,"Arabic adaptation of Buddhist stories, further transmission into Christian legend",Direct phonetic link in the transmission chain to Josaphat,
10th c. CE,Yudasaf,Georgian Christian texts,From Arabic Budhasaf/Yudasaf,"budha: PIE bheudh-; saf: from sattva (PIE bheuə-, es-)",Georgian Christian texts,"Incorporated into the Christianized ""Barlaam and Josaphat"" legend",Direct link in the transmission chain,
11th c. CE,Ioasaph / Josaphat,Greek/Latin hagiographies,From Georgian Yudasaf; ultimately from Sanskrit bodhisattva,"bodhi: PIE bheudh-; sattva: PIE bheuə-, es-",Medieval Christian legend,"""Barlaam and Josaphat"" legend: Josaphat = Bodhisattva; Christianized Buddha story",Direct etymological and narrative link to Bodhisattva,
