Date (Year BCE/CE),Name/Location,Region/Country,Type/Notes,Dynasty/Ruler/Context,Notes/Significance,,,,,,,,,,,,,,,,,,,,
280 CE,Seleucia-Ctesiphon Cathedral,Mesopotamia (Iraq),"Cathedral, Patriarchal Seat",Sasanian Empire,Headquarters of the Church of the East; seat of the Catholicos-Patriarch.,,,,,,,,,,,,,,,,,,,,
410 CE,Synod of Seleucia-Ctesiphon,Mesopotamia (Iraq),"Council site, Cathedral",Sasanian Empire,Major synod formalizing the Church's structure and doctrine.,,,,,,,,,,,,,,,,,,,,
410–700 CE,Nisibis (School and Cathedral),"Nusaybin, Turkey","School, Cathedral, Monasteries",Sasanian Empire,Major theological center after School of Edessa closed; site of famous School of Nisibis.,,,,,,,,,,,,,,,,,,,,
410–700 CE,Gundeshapur Cathedral and Monasteries,"Khuzestan, Iran","Cathedral, Monasteries",Sasanian Empire,Major Nestorian religious and academic center.,,,,,,,,,,,,,,,,,,,,
500–1300 CE,Mar Awgin Monastery,"Tur Abdin, Turkey",Monastery,"Sasanian, Byzantine, Islamic","Famed monastic center, influential in spread of monasticism.",,,,,,,,,,,,,,,,,,,,
489–700 CE,School of Edessa (relocated to Nisibis),"Edessa (Şanlıurfa, Turkey)","School, Monastery","Byzantine, Sasanian",Original center for Nestorian learning before closure and move to Nisibis6.,,,,,,,,,,,,,,,,,,,,
600–1300 CE,Saint Thomas Christian Churches,"Kerala, India",Churches,Various,"Ancient churches of the Malabar Coast, linked to Persian Nestorian missions26.",,,,,,,,,,,,,,,,,,,,
600–900 CE,Anuradhapura Cross Site,"Anuradhapura, Sri Lanka","Church, Monument",Anuradhapura Kingdom,Archaeological evidence of Nestorian presence; 6th-century cross and manuscript references2.,,,,,,,,,,,,,,,,,,,,
635 CE,Daqin Jingjiao Church (Nestorian Church of the East),"Chang’an (Xi’an), China","Church, Monastery",Tang Dynasty,First Nestorian church in China; established by Alopen; commemorated by the Nestorian Stele34.,,,,,,,,,,,,,,,,,,,,
638–845 CE,Jingjiao Monasteries (multiple),"Chang’an, Luoyang, other Chinese cities","Monasteries, Churches",Tang Dynasty,Dozens of monasteries built under imperial patronage; many destroyed after 845 CE34.,,,,,,,,,,,,,,,,,,,,
781 CE,Nestorian Stele,"Chang’an (Xi’an), China",Monument/Stele,Tang Dynasty,Inscribed monument recording history of Nestorian Christianity in China3.,,,,,,,,,,,,,,,,,,,,
650–1300 CE,Nestorian Churches in Central Asia,"Samarkand, Merv, Kashgar, Turfan, Balkh","Churches, Monasteries","Sogdian, Turkic, Mongol",Dozens of churches and monasteries along Silk Road; many now in ruins or lost26.,,,,,,,,,,,,,,,,,,,,
700–1300 CE,Nestorian Temples in Mongolia,"Karakorum, Olon Süme, other sites","Churches, Monasteries",Mongol Empire (Yuan),Marco Polo and Chinese sources mention active Nestorian communities and churches6.,,,,,,,,,,,,,,,,,,,,
800–1300 CE,Nestorian Gravestones and Cemeteries,"East Kazakhstan, Semirechye, Kyrgyzstan","Cemeteries, gravestones with Syriac script","Turkic, Mongol",Archaeological finds of gravestones and plates; evidence of Sogdian and Turkic Nestorian communities56.,,,,,,,,,,,,,,,,,,,,
800–1300 CE,Nestorian Pillar and Church Ruins,"Luoyang, China","Pillar, Church ruins","Tang, Song, Yuan",Nestorian pillar with inscriptions; church ruins discovered in Luoyang6.,,,,,,,,,,,,,,,,,,,,
800–1300 CE,Anikova and Grigorovskoye Plates,Semirechye (Kazakhstan/Kyrgyzstan),"Liturgical plates, grave goods","Sogdian, Turkic","Silver plates with biblical scenes, found in Sogdian Nestorian communities6.",,,,,,,,,,,,,,,,,,,,
900–1300 CE,Church of the East in Arabian Gulf,"Failaka (Kuwait), Sir Bani Yas (UAE), Qatar","Churches, Monasteries","Sasanian, Islamic",Archaeological remains of churches and monasteries; some of the earliest Christian buildings in the Gulf8.,,,,,,,,,,,,,,,,,,,,
900–1300 CE,"Nestorian Sites in Armenia, Georgia, Caucasus","Armenia, Georgia, Caucasus","Churches, Monasteries",Local rulers,"Minor but documented Nestorian presence, especially among Persian and Turkic populations2.",,,,,,,,,,,,,,,,,,,,
900–1300 CE,"Nestorian Sites in Egypt, Yemen, Arabia","Fustat (Cairo), Socotra, Najran","Churches, Monasteries",Islamic Caliphates,"Evidence of Nestorian dioceses and churches in Egypt, Yemen, and Socotra2.",,,,,,,,,,,,,,,,,,,,
1200–1300 CE,Nestorian Churches in Crimea and Volga Bulgaria,"Crimea, Volga region","Churches, Monasteries","Mongol, Bulgar",Archaeological and textual evidence of Nestorian communities2.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
🕉️ Shaivite Temples and Sites – Kashmir & Surrounding Regions,,,,,,,,,,,,,,,,,,,,,,,,,
Date (BCE/CE),Name/Location,Region/Country,Sect/Tradition,Type/Notes,Dynasty/Ruler/Context,Notes/Significance,,,,,,,,,,,,,,,,,,,
100 CE – 900 CE,Kashmir Smast Cave Complex,"Gandhara (Khyber Pakhtunkhwa, Pakistan)","Early Shaivite, Pashupata","Cave-temple, Maha-Guha (Great Cave)","Indo-Greek, Kushan, Hindu Shahi",Major Shaivite pilgrimage site; reused Buddhist cave network; significant trade route hub.,,,,,,,,,,,,,,,,,,,
500 CE – 1400 CE,Sharda Peeth,"Neelum Valley, Pakistan-administered Kashmir",Shaiva–Shakta (syncretic),"Temple, learning center","Hindu Shahi, local rulers","Former Buddhist center, later adopted by Shaivites and Shaktas; significant for script development.",,,,,,,,,,,,,,,,,,,
500 CE – 1400 CE,Katas Raj Temples,"Chakwal, Punjab, Pakistan",Shaiva (Panchayatana),"Temple complex, sacred pond","Hindu Shahi, later rulers","Major Shaiva pilgrimage site; cluster of temples, associated with Shiva legends.",,,,,,,,,,,,,,,,,,,
600 CE – 1000 CE,"Amb Temples, Salt Range","Punjab, Pakistan",Shaiva (various),"Hilltop temples, shrines",Hindu Shahi,"Fortified temples, unique architecture, major Shaiva center in the Salt Range.",,,,,,,,,,,,,,,,,,,
600 CE – 1000 CE,"Malot Temple, Salt Range","Punjab, Pakistan",Shaiva (various),"Stone temple, fortification",Hindu Shahi,Noted for its architecture and strategic location; Shaiva iconography.,,,,,,,,,,,,,,,,,,,
1200 CE – Present,Bhimashankar Temple,"Pune, Maharashtra, India",Northern Shaivism,Jyotirlinga temple,Various,One of the twelve Jyotirlingas; major pilgrimage site.,,,,,,,,,,,,,,,,,,,
700 CE – Present,Kedarnath Temple,"Kedarnath, Uttarakhand, India",Northern Shaivism,Jyotirlinga temple,Various,One of the twelve Jyotirlingas; major pilgrimage site.,,,,,,,,,,,,,,,,,,,
700 CE – 1200 CE,Jageshwar Temple Complex,"Almora, Uttarakhand, India",Northern Shaivism,Cluster of temples,Chand dynasty,Historic temple complex; believed to be the Nageshwar Jyotirlinga.,,,,,,,,,,,,,,,,,,,
700 CE – Present,Amarnath Cave Temple,"Anantnag, Jammu & Kashmir, India",Shaiva (Pan-Indian),"Cave temple, ice lingam",Various,Ancient pilgrimage site; legendary antiquity; referenced in medieval texts.,,,,,,,,,,,,,,,,,,,
700 CE – 1000 CE,Wangath Temple Complex,"Ganderbal, Jammu & Kashmir, India",Shaiva (various),Stone temple complex,"Karkota, Utpala dynasties",Dedicated to Shiva; cluster of temples; major pilgrimage and archaeological site.,,,,,,,,,,,,,,,,,,,
900 CE,Pandrethan Temple,"Srinagar, Jammu & Kashmir, India",Kashmiri Shaivism,Stone temple,Meru (minister to King Partha),Built in early 10th century; notable for its pyramidal roof and intricate carvings.,,,,,,,,,,,,,,,,,,,
850 CE – 900 CE,Avantipur Temple Ruins,"Avantipur, Jammu & Kashmir, India",Kashmiri Shaivism,Temple complex,Avantivarman (Utpala dynasty),"Ruins of two grand temples; one dedicated to Shiva (Avantisvara), another to Vishnu.",,,,,,,,,,,,,,,,,,,
750 CE – 850 CE,Martand Sun Temple,"Anantnag, Jammu & Kashmir, India",Syncretic (Shaiva-Surya),"Grand stone temple, now ruins",Lalitaditya (Karkota dynasty),"Though dedicated to Surya, features strong Shaivite iconography and was used by Shaiva sects.",,,,,,,,,,,,,,,,,,,
700 CE – 1400 CE,"Udhampur, Bhaderwah, Billawar, Basohli Temples","Jammu region, Jammu & Kashmir, India",Northern Shaivism,"Temples, shrines",Various,"Numerous Shaiva temples, some with unique Himalayan architectural features.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Attis and Cybele archaeological sites,,,,,,,,,,,,,,,,,,,,,,,,,
Date (Year BCE/CE),Name/Location,Region/Country,Type/Notes,Dynasty/Ruler/Context,Notes/Significance,,,,,,,,,,,,,,,,,,,,
1200 BCE–400 CE,Mount Dindymon & Pessinus,Phrygia (Turkey),"Sacred mountain, main sanctuary, temple","Phrygian, Hellenistic, Roman","Oldest and principal cult center of Cybele (Matar), seat of her high priest; sacred black stone.",,,,,,,,,,,,,,,,,,,,
204 BCE,"Temple of Cybele (Magna Mater), Palatine","Rome, Italy","Major state temple, housed sacred black stone",Roman Republic,First and most important Roman temple to Cybele; built to house meteoric stone from Pessinus.,,,,,,,,,,,,,,,,,,,,
191 BCE,"Temple of Cybele (Magna Mater), Palatine","Rome, Italy","Temple, festival site","Roman Republic, Augustus",Site of Megalesia festival; rebuilt multiple times; destroyed 394 CE by Theodosius I.,,,,,,,,,,,,,,,,,,,,
150 BCE–400 CE,Hierapolis (Phrygian city of Cybele),Anatolia (Turkey),"Major sanctuary, temples, processional way","Hellenistic, Roman",Important regional center for Cybele worship; linked to Hades/Pluto cult.,,,,,,,,,,,,,,,,,,,,
100 BCE–400 CE,Magna Graecia (Venice Museum bas-relief),Southern Italy,"Bas-relief: Cybele in chariot, Attis","Greek, Roman",Marble relief showing Cybele and Attis; now in Venice Archaeological Museum.,,,,,,,,,,,,,,,,,,,,
79 CE,Herculaneum (Campania),"Herculaneum, Italy",Wooden throne with Attis relief,Roman Empire,Throne with Attis under sacred pine; evidence of cult at time of Vesuvius eruption.,,,,,,,,,,,,,,,,,,,,
100 CE–400 CE,Pompeii (Domus near House of Leda and the Swan),"Pompeii, Italy",13 terracotta figurines of Cybele/Attis,Roman Empire,Figurines tell the myth of Cybele and Attis; found in domestic context.,,,,,,,,,,,,,,,,,,,,
150 CE–400 CE,Campo della Magna Mater & Shrine of Attis,"Ostia Antica, Italy","Temple complex, sanctuary, statues, reliefs",Roman Empire,"Large precinct with temples to Cybele and Attis; many statues, reliefs, and altars.",,,,,,,,,,,,,,,,,,,,
200 CE–400 CE,"Sanctuary of Attis, Ostia Antica","Ostia Antica, Italy","Shrine, statues, altar, festival site",Roman Empire,Small temple to Attis at Campo della Magna Mater; site of major Attis-related finds.,,,,,,,,,,,,,,,,,,,,
200 CE–400 CE,Trier (Moselle River find),"Trier, Germany",Silvery brass statue of Attis,Roman Empire,Anatolian-style Attis statue ritually consigned to river; now in Rheinisches Landesmuseum.,,,,,,,,,,,,,,,,,,,,
200 CE–400 CE,Corbridge and Chesters Roman Forts,"Hadrian’s Wall, Britain","Altars to Cybele, figures of Attis",Roman Britain,Altars and figures found at both sites; evidence of Galli and Cybele/Attis cult in Britain.,,,,,,,,,,,,,,,,,,,,
300 CE,Parabiago Plate,"Milan, Italy","Silver plate with Cybele, Attis, myth scenes",Roman Empire,Ritual object showing Cybele and Attis; now in Milan Archaeological Museum.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Saka, Surya, Agni, Indra, Mitra, and Varuna Sites",,,,,,,,,,,,,,,,,,,,,,,,,
Date (BCE/CE),Name/Location,Region/Country,Sect/Tradition,Type/Notes,Dynasty/Ruler/Context,Notes/Significance,,,,,,,,,,,,,,,,,,,
400 BCE – 100 BCE,Issyk Kurgan,Kazakhstan,Saka (Indo-Scythian),"Royal burial mound, grave goods",Saka,"Famous ""Golden Man"" burial; key Saka archaeological site.",,,,,,,,,,,,,,,,,,,
100 BCE – 100 CE,Tilla Tepe,Afghanistan,Saka (Indo-Scythian),"Elite burials, gold artifacts",Saka,Rich Saka-style burials; evidence of steppe connections.,,,,,,,,,,,,,,,,,,,
100 BCE – 100 CE,Chilas & Hunza Petroglyphs,"Gilgit-Baltistan, Pakistan",Saka (Indo-Scythian),Rock inscriptions and carvings,Saka,Inscriptions and petroglyphs attributed to Saka movement into South Asia.,,,,,,,,,,,,,,,,,,,
100 BCE – 100 CE,"Kankali Tila, Mathura","Uttar Pradesh, India",Saka (Indo-Scythian),"Inscriptions, temple remains",Northern Satraps (Saka),Saka inscriptions and temple remains; evidence of Saka rule in Mathura.,,,,,,,,,,,,,,,,,,,
700 CE – 750 CE,Martand Sun Temple,"Anantnag, Jammu & Kashmir, India",Surya (Sun),Grand stone temple,Lalitaditya (Karkota dynasty),Major Surya temple; syncretic Shaiva-Surya iconography.,,,,,,,,,,,,,,,,,,,
600 CE – 700 CE,Multan Sun Temple,"Multan, Punjab, Pakistan",Surya (Sun),Ancient temple (now destroyed),Local Hindu rulers,Referenced by early travelers; major Surya cult center in northwest India.,,,,,,,,,,,,,,,,,,,
1026 CE,Modhera Sun Temple,"Gujarat, India",Surya (Sun),"Temple, solar alignment",Bhima I (Chaulukya dynasty),Renowned for architecture and Surya worship; UNESCO tentative list.,,,,,,,,,,,,,,,,,,,
1250 CE,Konark Sun Temple,"Odisha, India",Surya (Sun),Chariot-shaped stone temple,Narasimhadeva I (Eastern Ganga),UNESCO World Heritage Site; pinnacle of Surya temple architecture.,,,,,,,,,,,,,,,,,,,
700 CE,Arasavalli Sun Temple,"Andhra Pradesh, India",Surya (Sun),"Temple, solar alignment",Eastern Ganga dynasty,One of the oldest surviving Surya temples; continuous worship.,,,,,,,,,,,,,,,,,,,
900 CE,Katarmal Sun Temple,"Uttarakhand, India",Surya (Sun),Hilltop stone temple,Katyuri kings,Noted for early medieval Surya worship in the Himalayas.,,,,,,,,,,,,,,,,,,,
200 CE – 900 CE,Kashmir Smast Cave Complex,"Gandhara (Khyber Pakhtunkhwa, Pakistan)","Early Shaivite, multi-deity","Cave-temple, Maha-Guha (Great Cave)","Kushan, Hephthalite, Hindu Shahi","Evidence of multi-deity worship, including Shaiva, Surya, Lajja Gauri, Vishnu, and others124.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,,,
"For Agni, Indra, Mitra, and Varuna: No major standalone archaeological sites or temples are known. Their worship is attested in Vedic texts, iconography, and inscriptions within multi-deity temples, but not as the primary focus of monumental architecture.",,,,,,,,,,,,,,,,,,,,,,,,,
"Kashmir Smast is included for its evidence of multi-deity worship, including Surya and other Vedic deities, in addition to its primary Shaivite significance124.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Gandhara Temples,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Site/Structure,Region,Culture(s)/Religion(s),Type,,Notes,,,,,,,,,,,,,,,,,,,
250 BCE,"Dharmarajika Stupa, Taxila",Gandhara,Buddhist,Stupa,,"Ashokan, major pilgrimage site",,,,,,,,,,,,,,,,,,,
100 BCE,Takht-i-Bahi,Gandhara,Buddhist,"Monastery, Stupa",,"Monumental, UNESCO World Heritage Site",,,,,,,,,,,,,,,,,,,
150 BCE,"Butkara Stupa, Swat",Gandhara,Buddhist,Stupa,,Hellenistic influence,,,,,,,,,,,,,,,,,,,
200 BCE,"Sirkap, Taxila",Gandhara,"Greek, Buddhist, Hindu, Jain","City, Temples",,"Urban planning, multi-religious",,,,,,,,,,,,,,,,,,,
100 BCE,Jamal Garhi,Gandhara,Buddhist,"Monastery, Stupa",,Rich sculpture,,,,,,,,,,,,,,,,,,,
150 BCE,"Amluk-Dara Stupa, Swat",Gandhara,Buddhist,Stupa,,"Large, visible for miles",,,,,,,,,,,,,,,,,,,
250 BCE,Shahbaz Garhi,Gandhara,"Buddhist, Mauryan","Edicts, Stupa",,Ashokan rock edicts,,,,,,,,,,,,,,,,,,,
500 CE,Harwan Monastery,Kashmir,Buddhist,Monastery,,Terracotta tiles,,,,,,,,,,,,,,,,,,,
700 CE,Parihaspora,Kashmir,"Buddhist, Hindu","City, Temples, Stupas",,Ancient capital,,,,,,,,,,,,,,,,,,,
750 CE,Martand Sun Temple,Kashmir,Hindu,Temple,,Monumental ruins,,,,,,,,,,,,,,,,,,,
280 BCE,Ai-Khanoum,Bactria,"Greek, Buddhist","City, Temples",,Hellenistic-Buddhist syncretism,,,,,,,,,,,,,,,,,,,
3rd c. CE,Bamiyan,Bactria,Buddhist,"Monastery, Statues",,"Colossal Buddhas, caves",,,,,,,,,,,,,,,,,,,
1st–3rd c. CE,"Termez (Fayaz Tepe, Kara Tepe)",Bactria,Buddhist,"Monasteries, Stupas",,Major Buddhist center,,,,,,,,,,,,,,,,,,,
3rd c. CE,Anzhina-Tepe,Bactria,Buddhist,Archaeological Site,,Kharosthi inscriptions,,,,,,,,,,,,,,,,,,,
200 BCE,Barikot,Gandhara,"Buddhist, Hindu","City, Temples, Stupas",,"Fortified, multi-phase",,,,,,,,,,,,,,,,,,,
